id	label	size
Bis dass der Tod uns scheidet - Soziale Medien und der Umgang mit dem Sterben	Bis dass der Tod uns scheidet - Soziale Medien und der Umgang mit dem Sterben	215
Praktische Anleitung für den fürsorglichen Überwachungsstaat	Praktische Anleitung für den fürsorglichen Überwachungsstaat	145
Surveillance by Design	Surveillance by Design	242
Graben Retten Teilen	Graben Retten Teilen	60
Open Transfer-Strategien Chancen und Herausforderungen für Kampagnen-Organisationen	Open Transfer-Strategien Chancen und Herausforderungen für Kampagnen-Organisationen	137
Online nutzen offline Nutzen. Was wir von US-Kampagnen lernen können	Online nutzen offline Nutzen. Was wir von US-Kampagnen lernen können	108
Mobil-isierung: NGO-Strategien für das Handy	Mobil-isierung: NGO-Strategien für das Handy	89
Kinderkram: So nutzen Kids das Web 	Kinderkram: So nutzen Kids das Web 	132
get re:ady to start: start-up pitches 1 	get re:ady to start: start-up pitches 1 	254
get re:ady to start: start-up pitches 2 	get re:ady to start: start-up pitches 2 	106
Silicon Paddy - The South East Asian Tech Startup Scene	Silicon Paddy - The South East Asian Tech Startup Scene	107
Hacker culture on the road: how to go from the computers and hackerspaces to the streets.	Hacker culture on the road: how to go from the computers and hackerspaces to the streets.	105
Boosting Creative Entrepreneurship in NYC Berlin and Amsterdam	Boosting Creative Entrepreneurship in NYC Berlin and Amsterdam	148
Twitter und die Politik: Zur Analyse temporärer und langfristiger politischer Netzwerke	Twitter und die Politik: Zur Analyse temporärer und langfristiger politischer Netzwerke	195
Googlequiz - 2013 Edition	Googlequiz - 2013 Edition	44
Sketchnotes	Sketchnotes	122
Content Strategy für NGOs Webinhalte erst strategisch planen dann publizieren	Content Strategy für NGOs Webinhalte erst strategisch planen dann publizieren	179
Von Social Media Management zu Social CRM	Von Social Media Management zu Social CRM	186
Systemisch und Souverän durch den digitalen Wandel navigieren	Systemisch und Souverän durch den digitalen Wandel navigieren	224
Bottom-up open: Was könnnen Kampagnen von innovativem Bürger-Journalismus lernen?	Bottom-up open: Was könnnen Kampagnen von innovativem Bürger-Journalismus lernen?	225
Semiotik für Nerds Oder von der Unwahrscheinlichkeit gelingender Kommunikation und offenen Kunstwerken	Semiotik für Nerds Oder von der Unwahrscheinlichkeit gelingender Kommunikation und offenen Kunstwerken	74
Mehr als Clicktivism: Mit strategischen Online-Kampagnen Politik verändern	Mehr als Clicktivism: Mit strategischen Online-Kampagnen Politik verändern	152
E-Partizipation für NGOs Chancen und Risiken online	E-Partizipation für NGOs Chancen und Risiken online	156
10 Fehler die wir alle machen! Nonprofits und Social Media Stand 2013	10 Fehler die wir alle machen! Nonprofits und Social Media Stand 2013	161
Neues Berufsbild Online- Campaigner in	Neues Berufsbild Online- Campaigner in	131
Blogging Cuba	Blogging Cuba	83
Die Geschichte des Computers	Die Geschichte des Computers	251
Mass Customization: Da geht noch mehr	Mass Customization: Da geht noch mehr	489
YouTube zwischen Wildwest und Goldgrube.	YouTube zwischen Wildwest und Goldgrube.	483
YouTube macht die Stars von heute	YouTube macht die Stars von heute	366
Zivilkapitalismus. Wir sind die Wirtschaft.	Zivilkapitalismus. Wir sind die Wirtschaft.	347
Immer dieses Internet!	Immer dieses Internet!	354
Data Kitchen - How to get juicy data from spreadsheets	Data Kitchen - How to get juicy data from spreadsheets	90
Internet Geographies: Data Shadows and Digital Divisions of Labour	Internet Geographies: Data Shadows and Digital Divisions of Labour	70
Im Gespräch mit Everyday Rebellion Über die Macht des gewaltlosen Widerstands	Im Gespräch mit Everyday Rebellion Über die Macht des gewaltlosen Widerstands	41
Mobilisieren mit dem neuen Nonprofit-Programm von Youtube	Mobilisieren mit dem neuen Nonprofit-Programm von Youtube	51
Mach es zu ihrem Projekt - New Volunteer Management im Campaigning	Mach es zu ihrem Projekt - New Volunteer Management im Campaigning	64
Sportblogs und Sportjournalismus - Von investigativen Journalismus aus der Nische	Sportblogs und Sportjournalismus - Von investigativen Journalismus aus der Nische	109
Blog Forever	Blog Forever	21
Radio Universal	Radio Universal	176
Unser Blog soll schöner werden	Unser Blog soll schöner werden	239
Digital Labor: New Opportunities Old Inequalities	Digital Labor: New Opportunities Old Inequalities	138
Net Neutrality	Net Neutrality	204
Netzgemüse: The Kids Are Alright	Netzgemüse: The Kids Are Alright	393
Heute aufwachsen in Digitalistan: Die neuen mündigen Menschen?	Heute aufwachsen in Digitalistan: Die neuen mündigen Menschen?	323
Interactive Landscapes	Interactive Landscapes	141
Netzpolitischer Nachmittag: IN SIDE OUT digiges	Netzpolitischer Nachmittag: IN SIDE OUT digiges	151
Color Concert Waiting for Earthquakes	Color Concert Waiting for Earthquakes	97
Das digitale Quartett - live on stage	Das digitale Quartett - live on stage	85
Wissen.Macht.Moral über das Digitale im Marionettentheater	Wissen.Macht.Moral über das Digitale im Marionettentheater	151
Werde Shareholder der Revolution	Werde Shareholder der Revolution	93
Mediated Life after Virtualization. A Critical Look at the Scenarios Forecast by New Wearable Augmented Reality Visualization Technologies.	Mediated Life after Virtualization. A Critical Look at the Scenarios Forecast by New Wearable Augmented Reality Visualization Technologies.	113
IN SIDE OUT of SCIENCE	IN SIDE OUT of SCIENCE	197
How radical are Open Access and the Digital Humanities?	How radical are Open Access and the Digital Humanities?	124
Faszination Grundlagenforschung Das Higgs Big Data und die Teilchenphysik	Faszination Grundlagenforschung Das Higgs Big Data und die Teilchenphysik	262
Yarnbombing Social Commerce und die Craftistas: Wie das Internet Crafting und Crafting unsere Gesellschaft verändert	Yarnbombing Social Commerce und die Craftistas: Wie das Internet Crafting und Crafting unsere Gesellschaft verändert	252
Personal Branding Kampagne: Wie der neue Job dich findet	Personal Branding Kampagne: Wie der neue Job dich findet	417
Hell Yeah it s Rocket Science! - pushing private space exploration with 30 Million US Dollars	Hell Yeah it s Rocket Science! - pushing private space exploration with 30 Million US Dollars	186
Saisonrückblick Social Media Recht	Saisonrückblick Social Media Recht	257
Eröffnung Barcamp Session-Planung	Eröffnung Barcamp Session-Planung	147
A1	A1	233
A2	A2	139
A3	A3	170
A4	A4	265
Spannender Abschluss Gemütlicher Ausklang	Spannender Abschluss Gemütlicher Ausklang	202
Space Science as a creative commons?	Space Science as a creative commons?	94
Das kleine Digitale und das große Ganze. Internetaktivismus Netzbewegung und Politik	Das kleine Digitale und das große Ganze. Internetaktivismus Netzbewegung und Politik	118
Let s Talk about Content! - Wie sich die Infrastruktur des Internets verändert	Let s Talk about Content! - Wie sich die Infrastruktur des Internets verändert	312
Global Internet Infrastructure - Shaping the world through neutral exchanges	Global Internet Infrastructure - Shaping the world through neutral exchanges	141
LobbyPlag	LobbyPlag	113
Marvin und der Blues	Marvin und der Blues	190
... and the rest will follow! Digitale Musikwirtschaft und Regionalentwicklung. Ein Zusammenhang in Gegenwart und Zukunft.	... and the rest will follow! Digitale Musikwirtschaft und Regionalentwicklung. Ein Zusammenhang in Gegenwart und Zukunft.	167
Music Recommendation - From Peel To Peer: Curatorial Models	Music Recommendation - From Peel To Peer: Curatorial Models	184
Music Recommendation Future Casting	Music Recommendation Future Casting	77
dorkbot.bln re:publica 13 Special 	dorkbot.bln re:publica 13 Special 	71
Modeblogger vereinigt euch! Sind Blog-Netzwerke der Schlüssel zur Professionalisierung?	Modeblogger vereinigt euch! Sind Blog-Netzwerke der Schlüssel zur Professionalisierung?	161
Das Ende der Arbeit Wenn Maschinen uns ersetzen	Das Ende der Arbeit Wenn Maschinen uns ersetzen	332
Investigation 2.0	Investigation 2.0	190
News you can t print - journalism beyond the article	News you can t print - journalism beyond the article	302
Why Hackers Should Be Fed	Why Hackers Should Be Fed	63
THE NEW AFRICA	THE NEW AFRICA	125
Debunking conspiracy theories	Debunking conspiracy theories	144
Mixing Pop Politics	Mixing Pop Politics	87
Weder süß noch salzig: Wie mir die Piratenpartei meine Freizeit nahm	Weder süß noch salzig: Wie mir die Piratenpartei meine Freizeit nahm	117
Herm und Nilz präsentieren: Das Internet Der Preis	Herm und Nilz präsentieren: Das Internet Der Preis	146
Der Montag liebt dich	Der Montag liebt dich	464
Zeit - Geld - Familie	Zeit - Geld - Familie	293
Crowdsourced Astronomy	Crowdsourced Astronomy	233
You Can Turn Off the Public Internet But You Can t Turn Off the Internet Public	You Can Turn Off the Public Internet But You Can t Turn Off the Internet Public	637
Das vernetzte Auto wie verändert sich unsere Mobilität? Ein Gespräch mit Dieter Zetsche.	Das vernetzte Auto wie verändert sich unsere Mobilität? Ein Gespräch mit Dieter Zetsche.	640
Life with extra Senses - How to become a Cyborg.	Life with extra Senses - How to become a Cyborg.	439
Robot Ethics	Robot Ethics	371
The Bobs Six Winners	The Bobs Six Winners	136
Cat Memes	Cat Memes	313
Ohne Jauch geht s auch. Thema: Von Human Resources zu Human Relations - wie sieht die Arbeit der Zukunft aus?	Ohne Jauch geht s auch. Thema: Von Human Resources zu Human Relations - wie sieht die Arbeit der Zukunft aus?	224
Vom Erklärbär zur Ameisenkönigin Crowdsourcing Deliberation und Co im Wissenschaftsjournalismus	Vom Erklärbär zur Ameisenkönigin Crowdsourcing Deliberation und Co im Wissenschaftsjournalismus	70
Goldene Zeiten für Entrepreneurial Science Journalism?	Goldene Zeiten für Entrepreneurial Science Journalism?	57
decoding a book Was ist Buch?	decoding a book Was ist Buch?	142
Browser Fingerprinting: Tracking ohne Spuren zu hinterlassen	Browser Fingerprinting: Tracking ohne Spuren zu hinterlassen	100
DNT: Transatlantic Divide	DNT: Transatlantic Divide	53
Vernetzte Mobilität - Erobert das Digitale die analogen Welten?	Vernetzte Mobilität - Erobert das Digitale die analogen Welten?	150
Rückt mal ein Stück! Die Androidinnen kommen!	Rückt mal ein Stück! Die Androidinnen kommen!	87
Du nennst es Programmieren ich nenne es Rock n Roll. Über weibliche Programmierer-Netzwerke.	Du nennst es Programmieren ich nenne es Rock n Roll. Über weibliche Programmierer-Netzwerke.	80
Wie Fernsehen und Online zusammenwachsen: die SWR-Projekte Zeit der Helden und Tatort 2013 	Wie Fernsehen und Online zusammenwachsen: die SWR-Projekte Zeit der Helden und Tatort 2013 	148
It s meta baby: Bücher Metadaten und Discoverability	It s meta baby: Bücher Metadaten und Discoverability	44
10 tips to grow your Positive Entrepreneurial Energy	10 tips to grow your Positive Entrepreneurial Energy	166
Impact Investing a New Era of Good-Cause Investors?	Impact Investing a New Era of Good-Cause Investors?	82
Afrinnovator - Startups in Africa: Appreciating country dynamics	Afrinnovator - Startups in Africa: Appreciating country dynamics	124
get re:ady to start: start-up pitches 3 	get re:ady to start: start-up pitches 3 	99
Zukunft der Gesundheitsversorgung: Internetmedizin in Deutschland	Zukunft der Gesundheitsversorgung: Internetmedizin in Deutschland	159
Say Digital Humanities One More Time: Technology affect and learning in emerging information societies	Say Digital Humanities One More Time: Technology affect and learning in emerging information societies	123
haters gonna hate - Lovepicking und die Folgen	haters gonna hate - Lovepicking und die Folgen	126
Digitaldarwinismus Warum gibt es keine digitalen Bananen?	Digitaldarwinismus Warum gibt es keine digitalen Bananen?	114
Six degrees of Wikipedia	Six degrees of Wikipedia	45
B1	B1	36
B2	B2	42
B3	B3	23
B4	B4	50
C1	C1	204
C2	C2	317
C3	C3	203
C4	C4	393
Embrace the Hate	Embrace the Hate	63
Wer bist Du wirklich? Wir basteln uns ehrliche Social-Media-Accounts!	Wer bist Du wirklich? Wir basteln uns ehrliche Social-Media-Accounts!	75
D1	D1	99
D2	D2	167
D3	D3	97
D4	D4	222
 cancelled European Libre Education workshop	 cancelled European Libre Education workshop	67
21st Century Skills - Keynote Panel	21st Century Skills - Keynote Panel	291
Take a ride on the Cyberpunk Express train	Take a ride on the Cyberpunk Express train	316
Speculative Design	Speculative Design	198
Das Blatt und das Netz. Überlegungen zu einer Medientheorie des Papiers	Das Blatt und das Netz. Überlegungen zu einer Medientheorie des Papiers	521
Die EU-Datenschutzreform als Balanceakt	Die EU-Datenschutzreform als Balanceakt	248
It s not a fax machine connect to a waffle iron	It s not a fax machine connect to a waffle iron	596
Ihr wollt also wissen was aufschrei gebracht hat?	Ihr wollt also wissen was aufschrei gebracht hat?	383
Interview with Ai Weiwei	Interview with Ai Weiwei	435
Verabschiedung	Verabschiedung	419
Von Television zu WikiVision: Mediale Grundversorgung von allen für alle	Von Television zu WikiVision: Mediale Grundversorgung von allen für alle	171
Jagen Sammeln Pflegen - alte und neue Aufgaben für die Öffentlich-Rechtlichen in Zeiten des Internet	Jagen Sammeln Pflegen - alte und neue Aufgaben für die Öffentlich-Rechtlichen in Zeiten des Internet	173
Datenbefreiung selbst gemacht.	Datenbefreiung selbst gemacht.	328
Export Controls for Dual-Use Software	Export Controls for Dual-Use Software	201
The Outernet A revolution in reality	The Outernet A revolution in reality	135
 Hast Du das schon getwittert? - Über Nutzen und Risiken von openjournalism	 Hast Du das schon getwittert? - Über Nutzen und Risiken von openjournalism	219
 Das meld ich dem Rundfunkrat! - Neues aus der öffentlich-rechtlichen Kommentarambulanz	 Das meld ich dem Rundfunkrat! - Neues aus der öffentlich-rechtlichen Kommentarambulanz	258
Blogs und Bier? Das lob ich mir! ironblogger	Blogs und Bier? Das lob ich mir! ironblogger	117
3D Printing: How can we make it a third industrial revolution?	3D Printing: How can we make it a third industrial revolution?	163
China India Bangladesh we re looking at you: Blogging and tweeting in Asia	China India Bangladesh we re looking at you: Blogging and tweeting in Asia	115
10 Vorschläge um die Welt zu verbessern	10 Vorschläge um die Welt zu verbessern	534
Die Digital Natives ziehen in den Krieg	Die Digital Natives ziehen in den Krieg	343
Online universities - food for thought or an intellectual malnutrition epidemic?	Online universities - food for thought or an intellectual malnutrition epidemic?	94
Ceci n est pas un MOOC. How to build awesome open dirt-cheap online courses	Ceci n est pas un MOOC. How to build awesome open dirt-cheap online courses	112
Digital by default - Digital Natives im Journalismus	Digital by default - Digital Natives im Journalismus	222
Laptop Yoga	Laptop Yoga	45
Telefonica Mobilfunk Inside Out	Telefonica Mobilfunk Inside Out	91
Die Vermessung der Social Media-Welt: Multiplikatoren im Netz ihre Themen und Resonanz im Bundestagswahlkampf.	Die Vermessung der Social Media-Welt: Multiplikatoren im Netz ihre Themen und Resonanz im Bundestagswahlkampf.	203
The Neighborhood Will Not Be Streamed	The Neighborhood Will Not Be Streamed	209
Netzwerkanalyse und politische Öffentlichkeit	Netzwerkanalyse und politische Öffentlichkeit	70
 Und warum sind da jetzt Brüste? - Warum auch die Gamerszene mehr als einen Aufschrei verdient hat	 Und warum sind da jetzt Brüste? - Warum auch die Gamerszene mehr als einen Aufschrei verdient hat	70
Die zukünftige Stadt: Sensoren und vernetzte urbane Kommunikation Einführungsvortrag mit Diskussion 	Die zukünftige Stadt: Sensoren und vernetzte urbane Kommunikation Einführungsvortrag mit Diskussion 	83
re:Fefe: Erkenntnisse der empirischen Trollforschung	re:Fefe: Erkenntnisse der empirischen Trollforschung	163
Kommunikation zwischen Unbekannten über Unbekanntes und warum Internetrollerei nicht schlimm ist	Kommunikation zwischen Unbekannten über Unbekanntes und warum Internetrollerei nicht schlimm ist	156
Lernen Lernen lernen im persönlichen Lernnetzwerk. Wie im digitalen Zeitalter eigensinnig und gemeinsam gelernt wird.	Lernen Lernen lernen im persönlichen Lernnetzwerk. Wie im digitalen Zeitalter eigensinnig und gemeinsam gelernt wird.	215
x-learning. Warum die Digitale Revolution des Lernens gescheitert ist.	x-learning. Warum die Digitale Revolution des Lernens gescheitert ist.	255
How to Digital Native: Medienkompetenz auf dem Lehrplan	How to Digital Native: Medienkompetenz auf dem Lehrplan	137
Digitale Nachhilfe für Azubis und Meister Nachwuchsförderung in der IT-Branche	Digitale Nachhilfe für Azubis und Meister Nachwuchsförderung in der IT-Branche	179
Best Practice: Medienkompetenz re:learned	Best Practice: Medienkompetenz re:learned	118
Von außen nach innen: Der soziale Kontext von Crowdsourcing	Von außen nach innen: Der soziale Kontext von Crowdsourcing	144
Gute MOOCs - böse MOOCs? Openness als Killerkriterium!	Gute MOOCs - böse MOOCs? Openness als Killerkriterium!	85
Responding effectively to digital emergencies human rights violations online	Responding effectively to digital emergencies human rights violations online	54
Im Schatten des Rechts - Wie informelle Normen das Urheberrecht unterlaufen oder auch auf den Kopf stellen	Im Schatten des Rechts - Wie informelle Normen das Urheberrecht unterlaufen oder auch auf den Kopf stellen	229
Netzkultur vs Urheberrecht	Netzkultur vs Urheberrecht	55
 The first thing we do let s kill all the lawyers Die Anwälte das Internet die Abmahnungen	 The first thing we do let s kill all the lawyers Die Anwälte das Internet die Abmahnungen	130
Der Urheberrechts-Yeti	Der Urheberrechts-Yeti	172
Myths of the Open Internet: Bust Them and Get Busy	Myths of the Open Internet: Bust Them and Get Busy	81
Internet-Meme: Geschichte Forschungsstand Kontroversen	Internet-Meme: Geschichte Forschungsstand Kontroversen	247
I palindrome I your life is mine	I palindrome I your life is mine	102
E-Zigarette der Genuß der aus dem Internet kam	E-Zigarette der Genuß der aus dem Internet kam	138
Richtig essen richtig schlafen und lasst die Mate weg: Besser Leben für Geeks	Richtig essen richtig schlafen und lasst die Mate weg: Besser Leben für Geeks	126
meshing berlin networking-networks LABism vs. Lobbyism - quo vadis civic creativity?	meshing berlin networking-networks LABism vs. Lobbyism - quo vadis civic creativity?	39
Die Total-Überwachung des Reiseverkehrs	Die Total-Überwachung des Reiseverkehrs	62
Europe vs. Facebook	Europe vs. Facebook	88
Klackerlaken - building solderless glowing vibrobots	Klackerlaken - building solderless glowing vibrobots	87
Preenaction Die Zukunft sozialer Medien erspielen ?	Preenaction Die Zukunft sozialer Medien erspielen ?	107
A Map of Everywhere You Go Outside - Mining Personal Data	A Map of Everywhere You Go Outside - Mining Personal Data	45
Street fighting data science	Street fighting data science	61
Fueling your app with dynamic Open Data	Fueling your app with dynamic Open Data	206
Mobile applications as a tool of public participation in the context of political crisis in contemporary Russia	Mobile applications as a tool of public participation in the context of political crisis in contemporary Russia	71
Investigatives Bloggen Das Informationsfreiheitsgesetz richtig nutzen	Investigatives Bloggen Das Informationsfreiheitsgesetz richtig nutzen	178
Von Piraten und Friesennerds: Liquid Democracy in der Praxis	Von Piraten und Friesennerds: Liquid Democracy in der Praxis	25
Offene API für die Lokalpolitik	Offene API für die Lokalpolitik	59
1 Million Petitionen Protestieren wir richtig im Netz?	1 Million Petitionen Protestieren wir richtig im Netz?	82
The Open Innovation Ecosystem	The Open Innovation Ecosystem	74
New Open Cities Challenge: Managing large tourism flows	New Open Cities Challenge: Managing large tourism flows	91
crushing data silos with ownCloud	crushing data silos with ownCloud	85
Autonomous web apps with Sockethub	Autonomous web apps with Sockethub	135
Wie das Internet literarisches Schreiben verändert	Wie das Internet literarisches Schreiben verändert	148
Die vierte Wand als Twitterwall. Eine Schauspiel- Performance mit Hashtag. Ein Experiment.	Die vierte Wand als Twitterwall. Eine Schauspiel- Performance mit Hashtag. Ein Experiment.	73
Soziale Netze im ärztlichen Behandlungsraum	Soziale Netze im ärztlichen Behandlungsraum	43
Gesundheit im Internet in Zentraleuropa: Status Quo und Innovationspfade	Gesundheit im Internet in Zentraleuropa: Status Quo und Innovationspfade	75
Ein Blick in die Zukunft der Personalisierten Medizin	Ein Blick in die Zukunft der Personalisierten Medizin	119
Blended Health - Immer noch nicht gesund durch s Internet? Zu dumm zu arm oder hilft es einfach nicht?	Blended Health - Immer noch nicht gesund durch s Internet? Zu dumm zu arm oder hilft es einfach nicht?	238
Me My Shadow	Me My Shadow	56
Best Practice-Projekte: Digitale Inklusion	Best Practice-Projekte: Digitale Inklusion	18
Raus aus der Rolle Behinderung im Fernsehen	Raus aus der Rolle Behinderung im Fernsehen	66
Me My City	Me My City	27
